Block,Rope Type,Diameter,Additional Length with Weight Inches,Order Within Block
1,Manila, 5/8,0.25,1
1,Manila, 3/8,0.06,2
1,Nylon, 1/2,0.75,3
1,Polyproylene, 3/8,0.25,4
1,Cotton, 1/2,1,5
1,Nylon, 1/4,0.63,6
1,Manila, 1/2,0.13,7
1,Polyproylene, 1/2,0.13,8
1,Cotton, 1/4,1.13,9
1,Cotton, 3/8,0.63,10
1,Polyproylene, 1/4,0.19,11
1,Cotton, 5/8,0.88,12
1,Nylon, 3/8,0.38,13
1,Polyproylene, 5/8,0.19,14
1,Manila, 1/4,0.13,15
1,Nylon, 5/8,0.44,16
2,Polyproylene, 1/4,0.13,1
2,Nylon, 1/4,0.56,2
2,Cotton, 3/8,0.75,3
2,Cotton, 1/2,1.25,4
2,Polyproylene, 1/2,0.31,5
2,Nylon, 5/8,0.5,6
2,Manila, 1/2,0.13,7
2,Manila, 1/4,0.06,8
2,Manila, 5/8,0.13,9
2,Polyproylene, 3/8,0.06,10
2,Cotton, 5/8,1.13,11
2,Cotton, 1/4,1.38,12
2,Nylon, 3/8,0.5,13
2,Manila, 3/8,0.13,14
2,Polyproylene, 5/8,0.19,15
2,Nylon, 1/2,0.5,16
3,Polyproylene, 3/8,0.06,1
3,Cotton, 1/4,1.5,2
3,Nylon, 5/8,0.69,3
3,Polyproylene, 5/8,0.25,4
3,Cotton, 1/2,0.94,5
3,Nylon, 1/2,0.63,6
3,Manila, 5/8,0.19,7
3,Manila, 1/4,0.13,8
3,Nylon, 1/4,0.75,9
3,Nylon, 3/8,0.5,10
3,Polyproylene, 1/4,0.06,11
3,Manila, 1/2,0.13,12
3,Cotton, 3/8,1.75,13
3,Polyproylene, 1/2,0.25,14
3,Cotton, 5/8,1,15
3,Manila, 3/8,0.13,16
4,Polyproylene, 1/4,0.06,1
4,Cotton, 3/8,0.94,2
4,Manila, 3/8,0.06,3
4,Polyproylene, 5/8,0.13,4
4,Nylon, 1/2,0.56,5
4,Cotton, 1/2,1.69,6
4,Manila, 5/8,0.25,7
4,Polyproylene, 3/8,0.19,8
4,Cotton, 5/8,0.94,9
4,Nylon, 5/8,0.5,10
4,Nylon, 1/4,0.56,11
4,Manila, 1/4,0.19,12
4,Nylon, 3/8,0.31,13
4,Manila, 1/2,0.19,14
4,Cotton, 1/4,1.38,15
4,Polyproylene, 1/2,0.19,16
5,Manila, 1/2,,1
5,Polyproylene, 3/8,,2
5,Manila, 3/8,,3
5,Manila, 5/8,,4
5,Nylon, 3/8,,5
5,Cotton, 1/2,,6
5,Nylon, 5/8,,7
5,Nylon, 1/2,,8
5,Polyproylene, 1/4,,9
5,Nylon, 1/4,,10
5,Manila, 1/4,,11
5,Cotton, 1/4,,12
5,Cotton, 3/8,,13
5,Polyproylene, 1/2,,14
5,Cotton, 5/8,,15
5,Polyproylene, 5/8,,16
